content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,tokens,tokens_no_stopwords,tokens_stemmed,final_content,tokens_final,final_content_v2,sentiment
top,5,0,2.2.7,2019-03-28 17:26:43,top,['top'],['top'],['top'],top,['top'],top,Positif
ok,5,0,2.2.7,2019-03-28 17:22:32,ok,['ok'],['ok'],['ok'],ok,[],,Positif
"Bagus, Mudah dan dan sangat membantu",5,0,2.2.6,2019-03-25 08:23:27,bagus mudah dan dan sangat membantu,"['bagus', 'mudah', 'dan', 'dan', 'sangat', 'membantu']","['bagus', 'mudah', 'membantu']","['bagus', 'mudah', 'bantu']",bagus mudah bantu,"['bagus', 'mudah', 'bantu']",bagus mudah bantu,Positif
Sangat membantu,5,0,2.2.6,2019-03-24 02:13:38,sangat membantu,"['sangat', 'membantu']",['membantu'],['bantu'],bantu,['bantu'],bantu,Positif
"Bagus aplikasinya, lebih cakep lagi kalau dilengkapi prakiraan waktu sampai tujuan, bisa pilih tempat duduk sesuai denah. Tambah mantab lagi, kalau armadanya juga di-upgrade apalagi untuk kelas patas.",5,2,,2019-03-22 03:50:55,bagus aplikasinya lebih cakep lagi kalau dilengkapi prakiraan waktu sampai tujuan bisa pilih tempat duduk sesuai denah tambah mantab lagi kalau armadanya juga diupgrade apalagi untuk kelas patas,"['bagus', 'aplikasinya', 'lebih', 'cakep', 'lagi', 'kalau', 'dilengkapi', 'prakiraan', 'waktu', 'sampai', 'tujuan', 'bisa', 'pilih', 'tempat', 'duduk', 'sesuai', 'denah', 'tambah', 'mantab', 'lagi', 'kalau', 'armadanya', 'juga', 'diupgrade', 'apalagi', 'untuk', 'kelas', 'patas']","['bagus', 'aplikasinya', 'cakep', 'dilengkapi', 'prakiraan', 'waktu', 'tujuan', 'pilih', 'duduk', 'sesuai', 'denah', 'mantab', 'armadanya', 'diupgrade', 'kelas', 'patas']","['bagus', 'aplikasi', 'cakep', 'lengkap', 'prakira', 'waktu', 'tuju', 'pilih', 'duduk', 'sesuai', 'denah', 'mantab', 'armada', 'diupgrade', 'kelas', 'patas']",bagus aplikasi cakep lengkap prakira waktu tuju pilih duduk sesuai denah mantab armada diupgrade kelas patas,"['bagus', 'aplikasi', 'cakep', 'lengkap', 'prakira', 'waktu', 'pilih', 'duduk', 'sesuai', 'denah', 'mantab', 'armada', 'diupgrade', 'kelas', 'patas']",bagus aplikasi cakep lengkap prakira waktu pilih duduk sesuai denah mantab armada diupgrade kelas patas,Positif
pool utama banyak tidak d legkapi CCTV barang ke tinggalan rawan lilang tanpa jejak,1,0,2.2.6,2019-03-19 15:02:58,pool utama banyak tidak d legkapi cctv barang ke tinggalan rawan lilang tanpa jejak,"['pool', 'utama', 'banyak', 'tidak', 'd', 'legkapi', 'cctv', 'barang', 'ke', 'tinggalan', 'rawan', 'lilang', 'tanpa', 'jejak']","['pool', 'utama', 'legkapi', 'cctv', 'barang', 'tinggalan', 'rawan', 'lilang', 'jejak']","['pool', 'utama', 'legkapi', 'cctv', 'barang', 'tinggal', 'rawan', 'lilang', 'jejak']",pool utama legkapi cctv barang tinggal rawan lilang jejak,"['pool', 'utama', 'legkapi', 'cctv', 'barang', 'tinggal', 'rawan', 'lilang', 'jejak']",pool utama legkapi cctv barang tinggal rawan lilang jejak,Negatif
udah di instal kok gak bisa di pakai ya...isinya tidak tersedia terus...,1,0,2.2.6,2019-03-17 16:43:22,udah di instal kok gak bisa di pakai yaisinya tidak tersedia terus,"['udah', 'di', 'instal', 'kok', 'gak', 'bisa', 'di', 'pakai', 'yaisinya', 'tidak', 'tersedia', 'terus']","['udah', 'instal', 'gak', 'pakai', 'yaisinya', 'tersedia']","['udah', 'instal', 'gak', 'pakai', 'yais', 'sedia']",udah instal gak pakai yais sedia,"['instal', 'pakai', 'yais', 'sedia']",instal pakai yais sedia,Negatif
"Hapus loket yang ada di Pulo gebang, kalau penumpang disuruh menunggu lama seperti ini.. 2 jam lebih nunggu gak jelas",2,1,,2019-03-17 15:38:44,hapus loket yang ada di pulo gebang kalau penumpang disuruh menunggu lama seperti ini jam lebih nunggu gak jelas,"['hapus', 'loket', 'yang', 'ada', 'di', 'pulo', 'gebang', 'kalau', 'penumpang', 'disuruh', 'menunggu', 'lama', 'seperti', 'ini', 'jam', 'lebih', 'nunggu', 'gak', 'jelas']","['hapus', 'loket', 'pulo', 'gebang', 'penumpang', 'disuruh', 'menunggu', 'jam', 'nunggu', 'gak']","['hapus', 'loket', 'pulo', 'gebang', 'tumpang', 'suruh', 'tunggu', 'jam', 'nunggu', 'gak']",hapus loket pulo gebang tumpang suruh tunggu jam nunggu gak,"['hapus', 'loket', 'pulo', 'gebang', 'tumpang', 'suruh', 'tunggu', 'jam', 'nunggu']",hapus loket pulo gebang tumpang suruh tunggu jam nunggu,Negatif
ik,5,0,2.2.6,2019-03-14 23:42:46,ik,['ik'],['ik'],['ik'],ik,['ik'],ik,Positif
4 dulu ntar kl ok tak tambahin,4,0,,2019-03-12 19:50:58,dulu ntar kl ok tak tambahin,"['dulu', 'ntar', 'kl', 'ok', 'tak', 'tambahin']","['ntar', 'kl', 'ok', 'tambahin']","['ntar', 'kl', 'ok', 'tambahin']",ntar kl ok tambahin,"['ntar', 'kl', 'tambahin']",ntar kl tambahin,Positif
kok pesen tiket kok sudah abis ya,1,0,2.2.6,2019-03-11 17:21:28,kok pesen tiket kok sudah abis ya,"['kok', 'pesen', 'tiket', 'kok', 'sudah', 'abis', 'ya']","['pesen', 'tiket', 'abis']","['sen', 'tiket', 'abis']",sen tiket abis,"['sen', 'tiket', 'abis']",sen tiket abis,Negatif
yg lainnya lancar v kurangnya hanya di pemilihan kursi... knpa gk bsa milih kursi sendiri yah...,2,4,2.2.6,2019-03-08 07:16:28,yg lainnya lancar v kurangnya hanya di pemilihan kursi knpa gk bsa milih kursi sendiri yah,"['yg', 'lainnya', 'lancar', 'v', 'kurangnya', 'hanya', 'di', 'pemilihan', 'kursi', 'knpa', 'gk', 'bsa', 'milih', 'kursi', 'sendiri', 'yah']","['yg', 'lancar', 'kurangnya', 'pemilihan', 'kursi', 'knpa', 'gk', 'bsa', 'milih', 'kursi', 'yah']","['yg', 'lancar', 'kurang', 'pilih', 'kursi', 'knpa', 'gk', 'bsa', 'milih', 'kursi', 'yah']",yg lancar kurang pilih kursi knpa gk bsa milih kursi yah,"['lancar', 'pilih', 'kursi', 'knpa', 'bsa', 'milih', 'kursi', 'yah']",lancar pilih kursi knpa bsa milih kursi yah,Negatif
jos,5,0,2.2.6,2019-03-07 18:18:38,jos,['jos'],['jos'],['jos'],jos,['jos'],jos,Positif
Udah dijawab sama orang2 dibawah ga perlu saya jelasin,1,0,,2019-03-06 16:11:20,udah dijawab sama orang dibawah ga perlu saya jelasin,"['udah', 'dijawab', 'sama', 'orang', 'dibawah', 'ga', 'perlu', 'saya', 'jelasin']","['udah', 'dibawah', 'ga', 'jelasin']","['udah', 'bawah', 'ga', 'jelasin']",udah bawah ga jelasin,['jelasin'],jelasin,Negatif
payah,1,0,2.2.6,2019-03-05 19:01:15,payah,['payah'],['payah'],['payah'],payah,['payah'],payah,Negatif
"pelayanan agen sangat mengecewakan, di hubungi belum selesai bertanya telpon langsung di tutup 😂, mending ga usah nyantumin no. telp kalau sperti itu💩💩💩",1,1,2.2.6,2019-03-02 09:01:08,pelayanan agen sangat mengecewakan di hubungi belum selesai bertanya telpon langsung di tutup mending ga usah nyantumin no telp kalau sperti itu,"['pelayanan', 'agen', 'sangat', 'mengecewakan', 'di', 'hubungi', 'belum', 'selesai', 'bertanya', 'telpon', 'langsung', 'di', 'tutup', 'mending', 'ga', 'usah', 'nyantumin', 'no', 'telp', 'kalau', 'sperti', 'itu']","['pelayanan', 'agen', 'mengecewakan', 'hubungi', 'selesai', 'telpon', 'tutup', 'mending', 'ga', 'nyantumin', 'no', 'telp', 'sperti']","['layan', 'agen', 'kecewa', 'hubung', 'selesai', 'telpon', 'tutup', 'mending', 'ga', 'nyantumin', 'no', 'telp', 'sperti']",layan agen kecewa hubung selesai telpon tutup mending ga nyantumin no telp sperti,"['layan', 'agen', 'kecewa', 'hubung', 'selesai', 'telpon', 'tutup', 'mending', 'nyantumin', 'no', 'telp', 'sperti']",layan agen kecewa hubung selesai telpon tutup mending nyantumin no telp sperti,Negatif
ok,5,0,,2019-02-25 16:11:02,ok,['ok'],['ok'],['ok'],ok,[],,Positif
Kurang fitur untuk memilih kursi,3,0,,2019-02-25 13:49:39,kurang fitur untuk memilih kursi,"['kurang', 'fitur', 'untuk', 'memilih', 'kursi']","['fitur', 'memilih', 'kursi']","['fitur', 'pilih', 'kursi']",fitur pilih kursi,"['fitur', 'pilih', 'kursi']",fitur pilih kursi,Netral
naik rosalia executive class harga mahal malah toilete gak bisa dipake mending pake kelas patas ae,1,0,,2019-02-25 05:56:50,naik rosalia executive class harga mahal malah toilete gak bisa dipake mending pake kelas patas ae,"['naik', 'rosalia', 'executive', 'class', 'harga', 'mahal', 'malah', 'toilete', 'gak', 'bisa', 'dipake', 'mending', 'pake', 'kelas', 'patas', 'ae']","['rosalia', 'executive', 'class', 'harga', 'mahal', 'toilete', 'gak', 'dipake', 'mending', 'pake', 'kelas', 'patas', 'ae']","['rosalia', 'executive', 'class', 'harga', 'mahal', 'toilete', 'gak', 'dipake', 'mending', 'pake', 'kelas', 'patas', 'ae']",rosalia executive class harga mahal toilete gak dipake mending pake kelas patas ae,"['rosalia', 'executive', 'class', 'harga', 'mahal', 'toilete', 'dipake', 'mending', 'pake', 'kelas', 'patas', 'ae']",rosalia executive class harga mahal toilete dipake mending pake kelas patas ae,Negatif
gak jelas,2,0,2.2.6,2019-02-21 22:08:35,gak jelas,"['gak', 'jelas']",['gak'],['gak'],gak,[],,Negatif
udah instal dua kali...gk bisa di pakai.jelek nih management developmentnya,1,0,2.2.6,2019-02-21 07:38:51,udah instal dua kaligk bisa di pakaijelek nih management developmentnya,"['udah', 'instal', 'dua', 'kaligk', 'bisa', 'di', 'pakaijelek', 'nih', 'management', 'developmentnya']","['udah', 'instal', 'kaligk', 'pakaijelek', 'nih', 'management', 'developmentnya']","['udah', 'instal', 'kaligk', 'pakaijelek', 'nih', 'management', 'developmentnya']",udah instal kaligk pakaijelek nih management developmentnya,"['instal', 'kaligk', 'pakaijelek', 'management', 'developmentnya']",instal kaligk pakaijelek management developmentnya,Negatif
sangatlah penting untuk diperhatikan dalam tiket,5,0,,2019-02-19 15:40:18,sangatlah penting untuk diperhatikan dalam tiket,"['sangatlah', 'penting', 'untuk', 'diperhatikan', 'dalam', 'tiket']","['diperhatikan', 'tiket']","['perhati', 'tiket']",perhati tiket,"['perhati', 'tiket']",perhati tiket,Positif
"seharusnya disediakan pilihan tempat tujuan berdasarkan pemberangkatan, sehingga tidak perlu cek 1/1 pemberhentian di setiap kota",2,4,2.2.6,2019-02-16 22:40:35,seharusnya disediakan pilihan tempat tujuan berdasarkan pemberangkatan sehingga tidak perlu cek pemberhentian di setiap kota,"['seharusnya', 'disediakan', 'pilihan', 'tempat', 'tujuan', 'berdasarkan', 'pemberangkatan', 'sehingga', 'tidak', 'perlu', 'cek', 'pemberhentian', 'di', 'setiap', 'kota']","['disediakan', 'pilihan', 'tujuan', 'berdasarkan', 'pemberangkatan', 'cek', 'pemberhentian', 'kota']","['sedia', 'pilih', 'tuju', 'dasar', 'berangkat', 'cek', 'henti', 'kota']",sedia pilih tuju dasar berangkat cek henti kota,"['sedia', 'pilih', 'dasar', 'berangkat', 'cek', 'henti', 'kota']",sedia pilih dasar berangkat cek henti kota,Negatif
cari tiket gk tampil..malah suruh menghubungi agen terdekat..gimana ini aplikasi,1,0,2.2.6,2019-02-10 15:45:42,cari tiket gk tampilmalah suruh menghubungi agen terdekatgimana ini aplikasi,"['cari', 'tiket', 'gk', 'tampilmalah', 'suruh', 'menghubungi', 'agen', 'terdekatgimana', 'ini', 'aplikasi']","['cari', 'tiket', 'gk', 'tampilmalah', 'suruh', 'menghubungi', 'agen', 'terdekatgimana', 'aplikasi']","['cari', 'tiket', 'gk', 'tampilmalah', 'suruh', 'hubung', 'agen', 'terdekatgimana', 'aplikasi']",cari tiket gk tampilmalah suruh hubung agen terdekatgimana aplikasi,"['cari', 'tiket', 'tampilmalah', 'suruh', 'hubung', 'agen', 'terdekatgimana', 'aplikasi']",cari tiket tampilmalah suruh hubung agen terdekatgimana aplikasi,Negatif
ok,5,0,2.2.6,2019-02-10 10:45:20,ok,['ok'],['ok'],['ok'],ok,[],,Positif
bagus,5,0,,2019-02-08 13:00:54,bagus,['bagus'],['bagus'],['bagus'],bagus,['bagus'],bagus,Positif
ok,5,0,2.2.5,2019-02-06 18:29:25,ok,['ok'],['ok'],['ok'],ok,[],,Positif
"kode verifikasi ga dapet,jumlah digit no hp aku kurang,",1,1,2.2.6,2019-02-05 21:41:54,kode verifikasi ga dapetjumlah digit no hp aku kurang,"['kode', 'verifikasi', 'ga', 'dapetjumlah', 'digit', 'no', 'hp', 'aku', 'kurang']","['kode', 'verifikasi', 'ga', 'dapetjumlah', 'digit', 'no', 'hp']","['kode', 'verifikasi', 'ga', 'dapetjumlah', 'digit', 'no', 'hp']",kode verifikasi ga dapetjumlah digit no hp,"['kode', 'verifikasi', 'dapetjumlah', 'digit', 'no', 'hp']",kode verifikasi dapetjumlah digit no hp,Negatif
ga bs pesen tiket...,1,0,,2019-02-01 14:10:30,ga bs pesen tiket,"['ga', 'bs', 'pesen', 'tiket']","['ga', 'bs', 'pesen', 'tiket']","['ga', 'bs', 'sen', 'tiket']",ga bs sen tiket,"['sen', 'tiket']",sen tiket,Negatif
kenapa login nya muter2 trus padahal signal kuota OK semua,4,1,2.2.6,2019-02-01 11:40:30,kenapa login nya muter trus padahal signal kuota ok semua,"['kenapa', 'login', 'nya', 'muter', 'trus', 'padahal', 'signal', 'kuota', 'ok', 'semua']","['login', 'muter', 'trus', 'signal', 'kuota', 'ok']","['login', 'muter', 'trus', 'signal', 'kuota', 'ok']",login muter trus signal kuota ok,"['login', 'muter', 'trus', 'signal', 'kuota']",login muter trus signal kuota,Positif
tes,3,0,,2019-02-01 09:25:24,tes,['tes'],['tes'],['tes'],tes,['tes'],tes,Netral
"aplikasi apaan ini..... kaya tai,😠 kaga bisa dipake..... kaga bisa log in juga.....kampret lah👎🖕🖕🖕",1,0,2.2.6,2019-01-24 17:59:30,aplikasi apaan ini kaya tai kaga bisa dipake kaga bisa log in jugakampret lah,"['aplikasi', 'apaan', 'ini', 'kaya', 'tai', 'kaga', 'bisa', 'dipake', 'kaga', 'bisa', 'log', 'in', 'jugakampret', 'lah']","['aplikasi', 'kaya', 'tai', 'kaga', 'dipake', 'kaga', 'log', 'in', 'jugakampret']","['aplikasi', 'kaya', 'tai', 'kaga', 'dipake', 'kaga', 'log', 'in', 'jugakampret']",aplikasi kaya tai kaga dipake kaga log in jugakampret,"['aplikasi', 'kaya', 'tai', 'kaga', 'dipake', 'kaga', 'log', 'in', 'jugakampret']",aplikasi kaya tai kaga dipake kaga log in jugakampret,Negatif
"ini aplikasi apa sih? dipake untuk booking gak bisa, alasannya selalu tiket habis",1,5,2.2.6,2019-01-23 18:19:02,ini aplikasi apa sih dipake untuk booking gak bisa alasannya selalu tiket habis,"['ini', 'aplikasi', 'apa', 'sih', 'dipake', 'untuk', 'booking', 'gak', 'bisa', 'alasannya', 'selalu', 'tiket', 'habis']","['aplikasi', 'sih', 'dipake', 'booking', 'gak', 'alasannya', 'tiket', 'habis']","['aplikasi', 'sih', 'dipake', 'booking', 'gak', 'alas', 'tiket', 'habis']",aplikasi sih dipake booking gak alas tiket habis,"['aplikasi', 'dipake', 'booking', 'alas', 'tiket', 'habis']",aplikasi dipake booking alas tiket habis,Negatif
salam santun.. aplikasinya bagus. terimakasih po rosalia indah. memberi dana konpensasi kecelakaan senilai 200rb. dengan total kerugian diatas 2jt yg ditanggung penumpang. semoga barokah bagi korban lainya dengan nilai 200rb. skali lg terimakasih.. semoga po rosalia indah semakin.???,1,8,2.2.6,2019-01-18 07:00:15,salam santun aplikasinya bagus terimakasih po rosalia indah memberi dana konpensasi kecelakaan senilai rb dengan total kerugian diatas jt yg ditanggung penumpang semoga barokah bagi korban lainya dengan nilai rb skali lg terimakasih semoga po rosalia indah semakin,"['salam', 'santun', 'aplikasinya', 'bagus', 'terimakasih', 'po', 'rosalia', 'indah', 'memberi', 'dana', 'konpensasi', 'kecelakaan', 'senilai', 'rb', 'dengan', 'total', 'kerugian', 'diatas', 'jt', 'yg', 'ditanggung', 'penumpang', 'semoga', 'barokah', 'bagi', 'korban', 'lainya', 'dengan', 'nilai', 'rb', 'skali', 'lg', 'terimakasih', 'semoga', 'po', 'rosalia', 'indah', 'semakin']","['santun', 'aplikasinya', 'bagus', 'terimakasih', 'po', 'rosalia', 'indah', 'dana', 'konpensasi', 'kecelakaan', 'senilai', 'rb', 'total', 'kerugian', 'diatas', 'jt', 'yg', 'ditanggung', 'penumpang', 'semoga', 'barokah', 'korban', 'lainya', 'nilai', 'rb', 'skali', 'lg', 'terimakasih', 'semoga', 'po', 'rosalia', 'indah']","['santun', 'aplikasi', 'bagus', 'terimakasih', 'po', 'rosalia', 'indah', 'dana', 'konpensasi', 'celaka', 'nila', 'rb', 'total', 'rugi', 'atas', 'jt', 'yg', 'tanggung', 'tumpang', 'moga', 'barokah', 'korban', 'lai', 'nilai', 'rb', 'skali', 'lg', 'terimakasih', 'moga', 'po', 'rosalia', 'indah']",santun aplikasi bagus terimakasih po rosalia indah dana konpensasi celaka nila rb total rugi atas jt yg tanggung tumpang moga barokah korban lai nilai rb skali lg terimakasih moga po rosalia indah,"['santun', 'aplikasi', 'bagus', 'terimakasih', 'po', 'rosalia', 'indah', 'dana', 'konpensasi', 'celaka', 'nila', 'rb', 'total', 'rugi', 'jt', 'tanggung', 'tumpang', 'moga', 'barokah', 'korban', 'lai', 'nilai', 'rb', 'skali', 'lg', 'terimakasih', 'moga', 'po', 'rosalia', 'indah']",santun aplikasi bagus terimakasih po rosalia indah dana konpensasi celaka nila rb total rugi jt tanggung tumpang moga barokah korban lai nilai rb skali lg terimakasih moga po rosalia indah,Negatif
mudah2an ada yg jam 5 sore dri kp rambutan,5,0,,2019-01-18 00:32:31,mudahan ada yg jam sore dri kp rambutan,"['mudahan', 'ada', 'yg', 'jam', 'sore', 'dri', 'kp', 'rambutan']","['mudahan', 'yg', 'jam', 'sore', 'dri', 'kp', 'rambutan']","['mudah', 'yg', 'jam', 'sore', 'dri', 'kp', 'rambutan']",mudah yg jam sore dri kp rambutan,"['mudah', 'jam', 'sore', 'dri', 'kp', 'rambutan']",mudah jam sore dri kp rambutan,Positif
nice..,5,0,2.2.6,2019-01-15 20:26:33,nice,['nice'],['nice'],['nice'],nice,['nice'],nice,Positif
"tolong diperbaiki lagi. saya pesan lewat aplikasi nomor kursi 1c 1d, pas cetak tiket dapat 1c sama 2d, pelyanannya kurang memuaskan lewat aplikasi",2,7,2.2.6,2019-01-08 15:45:43,tolong diperbaiki lagi saya pesan lewat aplikasi nomor kursi c d pas cetak tiket dapat c sama d pelyanannya kurang memuaskan lewat aplikasi,"['tolong', 'diperbaiki', 'lagi', 'saya', 'pesan', 'lewat', 'aplikasi', 'nomor', 'kursi', 'c', 'd', 'pas', 'cetak', 'tiket', 'dapat', 'c', 'sama', 'd', 'pelyanannya', 'kurang', 'memuaskan', 'lewat', 'aplikasi']","['tolong', 'diperbaiki', 'pesan', 'aplikasi', 'nomor', 'kursi', 'pas', 'cetak', 'tiket', 'pelyanannya', 'memuaskan', 'aplikasi']","['tolong', 'baik', 'pesan', 'aplikasi', 'nomor', 'kursi', 'pas', 'cetak', 'tiket', 'pelyanannya', 'muas', 'aplikasi']",tolong baik pesan aplikasi nomor kursi pas cetak tiket pelyanannya muas aplikasi,"['tolong', 'pesan', 'aplikasi', 'nomor', 'kursi', 'cetak', 'tiket', 'pelyanannya', 'muas', 'aplikasi']",tolong pesan aplikasi nomor kursi cetak tiket pelyanannya muas aplikasi,Negatif
login kok bisa bisa ya...????,1,0,,2019-01-06 10:03:30,login kok bisa bisa ya,"['login', 'kok', 'bisa', 'bisa', 'ya']",['login'],['login'],login,['login'],login,Negatif
"Sudah isi data tapi ga dapet kode verif, itu giman? mhon bantuannya,, BTK",2,0,2.2.6,2019-01-05 10:23:50,sudah isi data tapi ga dapet kode verif itu giman mhon bantuannya btk,"['sudah', 'isi', 'data', 'tapi', 'ga', 'dapet', 'kode', 'verif', 'itu', 'giman', 'mhon', 'bantuannya', 'btk']","['isi', 'data', 'ga', 'dapet', 'kode', 'verif', 'giman', 'mhon', 'bantuannya', 'btk']","['isi', 'data', 'ga', 'dapet', 'kode', 'verif', 'gim', 'mhon', 'bantu', 'btk']",isi data ga dapet kode verif gim mhon bantu btk,"['isi', 'data', 'dapet', 'kode', 'verif', 'gim', 'mhon', 'bantu', 'btk']",isi data dapet kode verif gim mhon bantu btk,Negatif
kalo gak download kalian nyesel,5,0,,2019-01-03 14:58:31,kalo gak download kalian nyesel,"['kalo', 'gak', 'download', 'kalian', 'nyesel']","['kalo', 'gak', 'download', 'nyesel']","['kalo', 'gak', 'download', 'nyesel']",kalo gak download nyesel,"['download', 'nyesel']",download nyesel,Positif
baru buat akun baru tapi belum dapat kode verifikasi. rekomended banget loh padahal po ini. mohon manajemen untuk segera menindaklanjuti. terima kasih.,2,3,2.2.6,2019-01-03 07:51:03,baru buat akun baru tapi belum dapat kode verifikasi rekomended banget loh padahal po ini mohon manajemen untuk segera menindaklanjuti terima kasih,"['baru', 'buat', 'akun', 'baru', 'tapi', 'belum', 'dapat', 'kode', 'verifikasi', 'rekomended', 'banget', 'loh', 'padahal', 'po', 'ini', 'mohon', 'manajemen', 'untuk', 'segera', 'menindaklanjuti', 'terima', 'kasih']","['akun', 'kode', 'verifikasi', 'rekomended', 'banget', 'loh', 'po', 'manajemen', 'menindaklanjuti', 'terima', 'kasih']","['akun', 'kode', 'verifikasi', 'rekomended', 'banget', 'loh', 'po', 'manajemen', 'menindaklanjuti', 'terima', 'kasih']",akun kode verifikasi rekomended banget loh po manajemen menindaklanjuti terima kasih,"['akun', 'kode', 'verifikasi', 'rekomended', 'loh', 'po', 'manajemen', 'menindaklanjuti', 'terima']",akun kode verifikasi rekomended loh po manajemen menindaklanjuti terima,Negatif
Menarik,4,0,2.2.6,2019-01-02 09:45:22,menarik,['menarik'],['menarik'],['tarik'],tarik,['tarik'],tarik,Positif
Untuk pembayaran melalui alfa dan indo susah.,1,0,2.2.6,2018-12-29 18:05:57,untuk pembayaran melalui alfa dan indo susah,"['untuk', 'pembayaran', 'melalui', 'alfa', 'dan', 'indo', 'susah']","['pembayaran', 'alfa', 'indo', 'susah']","['bayar', 'alfa', 'indo', 'susah']",bayar alfa indo susah,"['bayar', 'alfa', 'indo', 'susah']",bayar alfa indo susah,Negatif
percuma ada aplikasi klo ga bisa di pake,1,0,2.2.6,2018-12-29 05:11:28,percuma ada aplikasi klo ga bisa di pake,"['percuma', 'ada', 'aplikasi', 'klo', 'ga', 'bisa', 'di', 'pake']","['aplikasi', 'klo', 'ga', 'pake']","['aplikasi', 'klo', 'ga', 'pake']",aplikasi klo ga pake,"['aplikasi', 'pake']",aplikasi pake,Negatif
du,2,0,,2018-12-28 22:30:36,du,['du'],['du'],['du'],du,['du'],du,Negatif
"mantap,, baru di pake sekali langsung bisa berangkat,,, app nya sangat membantu,, terima kasih,,",5,0,1.1.1,2018-12-28 18:54:16,mantap baru di pake sekali langsung bisa berangkat app nya sangat membantu terima kasih,"['mantap', 'baru', 'di', 'pake', 'sekali', 'langsung', 'bisa', 'berangkat', 'app', 'nya', 'sangat', 'membantu', 'terima', 'kasih']","['mantap', 'pake', 'berangkat', 'app', 'membantu', 'terima', 'kasih']","['mantap', 'pake', 'berangkat', 'app', 'bantu', 'terima', 'kasih']",mantap pake berangkat app bantu terima kasih,"['mantap', 'pake', 'berangkat', 'app', 'bantu', 'terima']",mantap pake berangkat app bantu terima,Positif
"Sabar bosku,bukannya mau ngebela namanya juga ini belom lama rilis aplikasinya lu kira gampang bikin aplikasi kaya gini",5,0,,2018-12-28 10:22:48,sabar boskubukannya mau ngebela namanya juga ini belom lama rilis aplikasinya lu kira gampang bikin aplikasi kaya gini,"['sabar', 'boskubukannya', 'mau', 'ngebela', 'namanya', 'juga', 'ini', 'belom', 'lama', 'rilis', 'aplikasinya', 'lu', 'kira', 'gampang', 'bikin', 'aplikasi', 'kaya', 'gini']","['sabar', 'boskubukannya', 'ngebela', 'namanya', 'belom', 'rilis', 'aplikasinya', 'lu', 'gampang', 'bikin', 'aplikasi', 'kaya', 'gini']","['sabar', 'boskubukannya', 'ngebela', 'nama', 'bom', 'rilis', 'aplikasi', 'lu', 'gampang', 'bikin', 'aplikasi', 'kaya', 'gin']",sabar boskubukannya ngebela nama bom rilis aplikasi lu gampang bikin aplikasi kaya gin,"['sabar', 'boskubukannya', 'ngebela', 'nama', 'bom', 'rilis', 'aplikasi', 'lu', 'gampang', 'bikin', 'aplikasi', 'kaya', 'gin']",sabar boskubukannya ngebela nama bom rilis aplikasi lu gampang bikin aplikasi kaya gin,Positif
saya douwnload aplikasi ini kok gx bsa ya,3,0,,2018-12-26 18:52:36,saya douwnload aplikasi ini kok gx bsa ya,"['saya', 'douwnload', 'aplikasi', 'ini', 'kok', 'gx', 'bsa', 'ya']","['douwnload', 'aplikasi', 'gx', 'bsa']","['douwnload', 'aplikasi', 'gx', 'bsa']",douwnload aplikasi gx bsa,"['douwnload', 'aplikasi', 'bsa']",douwnload aplikasi bsa,Netral
"udah isi data,susah nggak dapet kode verifikasi.jadi belum bisa di pake.padahal aku butuh banget mau beli tiket buat keberangkatan tgl.29 sekeluarga ke jakarta.",1,61,2.2.6,2018-12-26 09:27:21,udah isi datasusah nggak dapet kode verifikasijadi belum bisa di pakepadahal aku butuh banget mau beli tiket buat keberangkatan tgl sekeluarga ke jakarta,"['udah', 'isi', 'datasusah', 'nggak', 'dapet', 'kode', 'verifikasijadi', 'belum', 'bisa', 'di', 'pakepadahal', 'aku', 'butuh', 'banget', 'mau', 'beli', 'tiket', 'buat', 'keberangkatan', 'tgl', 'sekeluarga', 'ke', 'jakarta']","['udah', 'isi', 'datasusah', 'nggak', 'dapet', 'kode', 'verifikasijadi', 'pakepadahal', 'butuh', 'banget', 'beli', 'tiket', 'keberangkatan', 'tgl', 'sekeluarga', 'jakarta']","['udah', 'isi', 'datasusah', 'nggak', 'dapet', 'kode', 'verifikasijadi', 'pakepadahal', 'butuh', 'banget', 'beli', 'tiket', 'berangkat', 'tgl', 'keluarga', 'jakarta']",udah isi datasusah nggak dapet kode verifikasijadi pakepadahal butuh banget beli tiket berangkat tgl keluarga jakarta,"['isi', 'datasusah', 'nggak', 'dapet', 'kode', 'verifikasijadi', 'pakepadahal', 'butuh', 'beli', 'tiket', 'berangkat', 'tgl', 'keluarga', 'jakarta']",isi datasusah nggak dapet kode verifikasijadi pakepadahal butuh beli tiket berangkat tgl keluarga jakarta,Negatif
